Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2023-01-05,2023,1,5,Thursday,01,2023-01,110.51,111.75,107.16,110.34,157986300,110.34,-0.029039097760312105,127.18071428571429,173.77700000000002
2023-01-06,2023,1,6,Friday,01,2023-01,103.0,114.39,101.81,113.06,220911100,113.06,0.024651090365942707,123.99428571428572,171.5898
2023-01-09,2023,1,9,Monday,02,2023-02,118.96,123.52,117.11,119.77,190284000,119.77,0.059349011404278285,121.81857142857143,169.49239999999998
2023-01-10,2023,1,10,Tuesday,02,2023-02,121.07,122.76,114.92,118.85,167642500,118.85,-0.007681374256751861,119.60285714285713,167.36759999999998
2023-01-11,2023,1,11,Wednesday,02,2023-02,122.09,125.95,120.51,123.22,183810800,123.22,0.036769060182475055,118.56142857142856,165.2616
2023-01-12,2023,1,12,Thursday,02,2023-02,122.56,124.13,117.0,123.56,169400900,123.56,0.0027592625752506095,117.56071428571428,163.182
2023-01-13,2023,1,13,Friday,02,2023-02,116.55,122.63,115.6,122.4,180714100,122.4,-0.009388119582672827,117.35000000000001,161.0736
2023-01-17,2023,1,17,Tuesday,03,2023-03,125.7,131.7,125.02,131.49,186477000,131.49,0.07426473736900463,117.94571428571429,159.4038
2023-01-18,2023,1,18,Wednesday,03,2023-03,136.56,136.68,127.01,128.78,195680300,128.78,-0.020609982513142944,119.35142857142856,157.6732
2023-01-19,2023,1,19,Thursday,03,2023-03,127.26,129.99,124.31,127.17,170291900,127.17,-0.012501946153228194,120.38428571428572,156.06719999999999
2023-01-20,2023,1,20,Friday,03,2023-03,128.68,133.51,127.35,133.42,138858100,133.42,0.0491468120625187,121.21285714285715,154.79399999999998
2023-01-23,2023,1,23,Monday,04,2023-04,135.87,145.38,134.27,143.75,203119200,143.75,0.07742468874848996,122.68214285714286,153.843
2023-01-24,2023,1,24,Tuesday,04,2023-04,143.0,146.5,141.1,143.89,158699100,143.89,0.0009739087975544347,125.23857142857142,153.16899999999998
2023-01-25,2023,1,25,Wednesday,04,2023-04,141.91,146.41,138.07,144.43,192734300,144.43,0.003752820129427681,127.43785714285715,152.2432
2023-01-26,2023,1,26,Thursday,04,2023-04,159.97,161.42,154.76,160.27,234815100,160.27,0.10967259156647335,131.00428571428571,151.5292
2023-01-27,2023,1,27,Friday,04,2023-04,162.43,180.68,161.17,177.9,306590600,177.9,0.11000180416824756,135.6357142857143,151.2682
2023-01-30,2023,1,30,Monday,05,2023-05,178.05,179.77,166.5,166.66,230878800,166.66,-0.06318150994943417,138.98499999999999,150.71300000000002
2023-01-31,2023,1,31,Tuesday,05,2023-05,164.57,174.3,162.78,173.22,196813500,173.22,0.03936155894904236,142.86857142857144,150.439
2023-02-01,2023,2,1,Wednesday,05,2023-05,173.89,183.81,169.93,181.41,213806300,181.41,0.047280928205116535,147.025,150.4038
2023-02-02,2023,2,2,Thursday,05,2023-05,187.33,196.75,182.61,188.27,217448300,188.27,0.03781489703913388,151.64714285714285,150.5654
2023-02-03,2023,2,3,Friday,05,2023-05,183.95,199.0,183.69,189.98,232662000,189.98,0.009082654784473565,156.4742857142857,151.0076
2023-02-06,2023,2,6,Monday,06,2023-06,193.01,198.17,189.92,194.76,186188100,194.76,0.025160537355481072,160.9935714285714,151.50459999999998
2023-02-07,2023,2,7,Tuesday,06,2023-06,196.43,197.5,189.55,196.81,186010300,196.81,0.010525791279409002,165.85285714285715,151.7768
2023-02-08,2023,2,8,Wednesday,06,2023-06,196.1,203.0,194.31,201.29,180673600,201.29,0.022763049555982517,171.14714285714285,152.1454
2023-02-09,2023,2,9,Thursday,06,2023-06,207.78,214.0,204.77,207.32,215431400,207.32,0.029956849516678652,176.4257142857143,152.6334
2023-02-10,2023,2,10,Friday,06,2023-06,202.23,206.2,192.89,196.89,204754100,196.89,-0.05030873801899527,180.22142857142856,152.9546
2023-02-13,2023,2,13,Monday,07,2023-07,194.42,196.3,187.61,194.64,172475500,194.64,-0.011427700782035255,183.84642857142856,152.9534
2023-02-14,2023,2,14,Tuesday,07,2023-07,191.94,209.82,189.44,209.25,216455700,209.25,0.0750616556523096,188.47642857142858,153.24439999999998
2023-02-15,2023,2,15,Wednesday,07,2023-07,211.76,214.66,206.11,214.24,181006400,214.24,0.02384709913101113,192.3314285714286,153.632
2023-02-16,2023,2,16,Thursday,07,2023-07,210.78,217.65,201.84,202.04,229586500,202.04,-0.05694553722096751,194.0557142857143,154.02380000000002
2023-02-17,2023,2,17,Friday,07,2023-07,199.99,208.44,197.5,208.31,213738500,208.31,0.031033480898909227,197.03071428571428,154.59359999999998
2023-02-21,2023,2,21,Tuesday,08,2023-08,204.99,209.71,197.22,197.37,180018600,197.37,-0.05251789433835996,198.75571428571428,155.06019999999998
2023-02-22,2023,2,22,Wednesday,08,2023-08,197.93,201.99,191.78,200.86,191828500,200.86,0.017682553475729224,200.145,155.6086
2023-02-23,2023,2,23,Thursday,08,2023-08,203.91,205.14,196.33,202.07,146360000,202.07,0.006024129792842503,201.13071428571428,156.069
2023-02-24,2023,2,24,Friday,08,2023-08,196.33,197.67,192.8,196.88,142228100,196.88,-0.025684180003413215,201.62357142857144,156.6502
2023-02-27,2023,2,27,Monday,09,2023-09,202.03,209.42,201.26,207.63,161028300,207.63,0.0546017865369246,202.54285714285714,157.5838
2023-02-28,2023,2,28,Tuesday,09,2023-09,210.59,211.23,203.75,205.71,153144900,205.71,-0.009247209573726933,203.17857142857142,158.562
2023-03-01,2023,3,1,Wednesday,09,2023-09,206.21,207.2,198.52,202.77,156852800,202.77,-0.014291975817664837,203.28428571428572,159.464
2023-03-02,2023,3,2,Thursday,09,2023-09,186.74,193.75,186.01,190.9,181500700,190.9,-0.05853928157947319,202.11142857142858,160.2774
2023-03-03,2023,3,3,Friday,09,2023-09,194.8,200.48,192.88,197.79,154193300,197.79,0.03609219282314147,202.1757142857143,161.2358
2023-03-06,2023,3,6,Monday,10,2023-10,198.54,198.6,192.3,193.81,128100100,193.81,-0.020122331071529054,202.11642857142857,162.356
2023-03-07,2023,3,7,Tuesday,10,2023-10,191.38,194.2,186.1,187.71,148125800,187.71,-0.03147407730028162,200.57785714285714,163.3588
2023-03-08,2023,3,8,Wednesday,10,2023-10,185.04,186.5,180.0,182.0,151897800,182.0,-0.03041929843714275,198.275,164.4918
2023-03-09,2023,3,9,Thursday,10,2023-10,180.25,185.18,172.51,172.92,170023800,172.92,-0.04989011995084991,196.195,165.4872
2023-03-10,2023,3,10,Friday,10,2023-10,175.13,178.29,168.44,173.44,191488900,173.44,0.0030071956856769777,193.70428571428573,166.774
2023-03-13,2023,3,13,Monday,11,2023-11,167.46,177.35,163.91,174.48,167790300,174.48,0.005996271168666301,192.06928571428574,168.0094
2023-03-14,2023,3,14,Tuesday,11,2023-11,177.31,183.8,177.14,183.26,143717900,183.26,0.050320947926932424,190.81214285714285,169.2382
2023-03-15,2023,3,15,Wednesday,11,2023-11,180.8,182.34,176.03,180.45,145995600,180.45,-0.015333393227232373,189.26785714285714,170.38359999999997
2023-03-16,2023,3,16,Thursday,11,2023-11,180.37,185.81,178.84,184.13,121136800,184.13,0.020393505108375454,188.35714285714286,171.90420000000003
2023-03-17,2023,3,17,Friday,11,2023-11,184.52,186.22,177.33,180.13,133197100,180.13,-0.02172378153438792,186.39285714285714,173.23399999999998
2023-03-20,2023,3,20,Monday,12,2023-12,178.08,186.44,176.35,183.25,129684400,183.25,0.017320796272765726,184.78857142857143,174.69219999999999
2023-03-21,2023,3,21,Tuesday,12,2023-12,188.28,198.0,188.04,197.58,153391400,197.58,0.07819919143822474,184.41785714285714,176.3826
2023-03-22,2023,3,22,Wednesday,12,2023-12,199.3,200.66,190.95,191.15,150376400,191.15,-0.03254381959196684,184.43571428571428,177.8102
2023-03-23,2023,3,23,Thursday,12,2023-12,195.26,199.31,188.65,192.22,144193900,192.22,0.0055977366381618765,184.03785714285712,179.27759999999998
2023-03-24,2023,3,24,Friday,12,2023-12,191.65,192.36,187.15,190.41,116312400,190.41,-0.009416281069083654,183.79500000000002,180.6214
2023-03-27,2023,3,27,Monday,13,2023-13,194.42,197.39,189.94,191.81,120851600,191.81,0.007352522816861606,184.08785714285713,181.9864
2023-03-28,2023,3,28,Tuesday,13,2023-13,192.0,192.35,185.43,189.19,98654600,189.19,-0.013659325116185062,184.60142857142858,183.3222
2023-03-29,2023,3,29,Wednesday,13,2023-13,193.13,195.29,189.44,193.88,123660000,193.88,0.024789906342217005,186.0985714285714,184.56999999999996
